Collection Date,Lake Temperature (Degrees C),Lab Temperature,Start Temperature,Assay Date,Species,exp_rep,Treatment,Tube,Dose Assignment,Cl Concentrations,CTMax Temp,CTMax Time
11/13/25,8,10,11.2,11/19/25,L. Minutus,1,MgCl2,T1,D7,1600,32.4,1:23:20
11/13/25,8,10,11.2,11/19/25,L. Minutus,1,MgCl2,T2,D5,1400,33.3,1:27:51
11/13/25,8,10,11.2,11/19/25,L. Minutus,1,MgCl2,T3,D4,1300,34.8,1:35:07
11/13/25,8,10,11.2,11/19/25,L. Minutus,1,MgCl2,T4,D6,1500,27.5,1:01:58
11/13/25,8,10,11.2,11/19/25,L. Minutus,1,MgCl2,T5,C1,0,28.5,1:06:14
11/13/25,8,10,11.2,11/19/25,L. Minutus,1,MgCl2,T6,D7,1600,34.4,1:33:16
11/13/25,8,10,11.2,11/19/25,L. Minutus,1,MgCl2,T7,D5,1400,33.6,1:29:10
11/13/25,8,10,11.2,11/19/25,L. Minutus,1,MgCl2,T8,C2,0,35.1,1:36:43
11/13/25,8,10,11.2,11/19/25,L. Minutus,1,MgCl2,T9,D4,1300,31.8,1:21:15
11/13/25,8,10,11.2,11/19/25,L. Minutus,1,MgCl2,T10,D5,1400,31,1:17:15
11/13/25,8,10,11.2,11/19/25,L. Minutus,1,MgCl2,T11,C1,0,35.3,1:37:38
11/13/25,8,10,11.2,11/19/25,L. Minutus,1,MgCl2,T12,D4,1300,34.3,1:32:24
11/13/25,8,10,11.2,11/19/25,L. Minutus,1,MgCl2,T13,C2,0,34,1:31:05
11/13/25,8,10,11.2,11/19/25,L. Minutus,1,MgCl2,T14,D6,1500,31.3,1:18:34
11/13/25,8,10,11.2,11/19/25,L. Minutus,1,MgCl2,T15,D7,1600,33,1:26:38
